legacy_url,legacy_id,tip,yeni_url,eylem,not
/,,home,/,keep,Ana sayfa single-page scroll deneyimi olarak yeniden tasarlanacak
/youtube-kanal-acma-adim-adim-rehber.html,7185,post,/youtube-kanal-acma-adim-adim-rehber.html,keep,kategori=1; tarih=2025-06-11
/youtube-kanal-acma-adim-adim-rehber.html?amp=1,7185,post-amp,/youtube-kanal-acma-adim-adim-rehber.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/youtube-kanal-acma-adim-adim-rehber.html/amp,7185,post-amp,/youtube-kanal-acma-adim-adim-rehber.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/youtube-nis-bulma-dogru-nisi-secmek.html,7181,post,/youtube-nis-bulma-dogru-nisi-secmek.html,keep,kategori=1291; tarih=2025-06-11
/youtube-nis-bulma-dogru-nisi-secmek.html?amp=1,7181,post-amp,/youtube-nis-bulma-dogru-nisi-secmek.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/youtube-nis-bulma-dogru-nisi-secmek.html/amp,7181,post-amp,/youtube-nis-bulma-dogru-nisi-secmek.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/hindistan-pakistan-arasindaki-gercek-kavga.html,7173,post,/hindistan-pakistan-arasindaki-gercek-kavga.html,keep,kategori=218; tarih=2025-05-10
/hindistan-pakistan-arasindaki-gercek-kavga.html?amp=1,7173,post-amp,/hindistan-pakistan-arasindaki-gercek-kavga.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/hindistan-pakistan-arasindaki-gercek-kavga.html/amp,7173,post-amp,/hindistan-pakistan-arasindaki-gercek-kavga.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/esref-ruya-mantigin-bittigi-yer.html,7170,post,/esref-ruya-mantigin-bittigi-yer.html,keep,kategori=218; tarih=2025-05-10
/esref-ruya-mantigin-bittigi-yer.html?amp=1,7170,post-amp,/esref-ruya-mantigin-bittigi-yer.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/esref-ruya-mantigin-bittigi-yer.html/amp,7170,post-amp,/esref-ruya-mantigin-bittigi-yer.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/mr-beastin-youtube-basarisinin-sirlari.html,7164,post,/mr-beastin-youtube-basarisinin-sirlari.html,keep,kategori=218; tarih=2025-05-09
/mr-beastin-youtube-basarisinin-sirlari.html?amp=1,7164,post-amp,/mr-beastin-youtube-basarisinin-sirlari.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/mr-beastin-youtube-basarisinin-sirlari.html/amp,7164,post-amp,/mr-beastin-youtube-basarisinin-sirlari.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/patreon-nasil-dogdu-tek-kisilik-dev-kadronun-donum-noktasi.html,7157,post,/patreon-nasil-dogdu-tek-kisilik-dev-kadronun-donum-noktasi.html,keep,kategori=218; tarih=2025-05-09
/patreon-nasil-dogdu-tek-kisilik-dev-kadronun-donum-noktasi.html?amp=1,7157,post-amp,/patreon-nasil-dogdu-tek-kisilik-dev-kadronun-donum-noktasi.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/patreon-nasil-dogdu-tek-kisilik-dev-kadronun-donum-noktasi.html/amp,7157,post-amp,/patreon-nasil-dogdu-tek-kisilik-dev-kadronun-donum-noktasi.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/gercekci-render-almakta-zorlaniyormusunuz.html,7153,post,/gercekci-render-almakta-zorlaniyormusunuz.html,keep,"kategori=518,1142; tarih=2025-03-21"
/gercekci-render-almakta-zorlaniyormusunuz.html?amp=1,7153,post-amp,/gercekci-render-almakta-zorlaniyormusunuz.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/gercekci-render-almakta-zorlaniyormusunuz.html/amp,7153,post-amp,/gercekci-render-almakta-zorlaniyormusunuz.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/basarili-is-kurmak-icin-7-strateji.html,7126,post,/basarili-is-kurmak-icin-7-strateji.html,keep,kategori=218; tarih=2025-03-10
/basarili-is-kurmak-icin-7-strateji.html?amp=1,7126,post-amp,/basarili-is-kurmak-icin-7-strateji.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/basarili-is-kurmak-icin-7-strateji.html/amp,7126,post-amp,/basarili-is-kurmak-icin-7-strateji.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/brian-tracy-basarili-insanlarin-gunluk-aliskanliklari.html,7122,post,/brian-tracy-basarili-insanlarin-gunluk-aliskanliklari.html,keep,kategori=218; tarih=2025-03-09
/brian-tracy-basarili-insanlarin-gunluk-aliskanliklari.html?amp=1,7122,post-amp,/brian-tracy-basarili-insanlarin-gunluk-aliskanliklari.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/brian-tracy-basarili-insanlarin-gunluk-aliskanliklari.html/amp,7122,post-amp,/brian-tracy-basarili-insanlarin-gunluk-aliskanliklari.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/gpt-4o-yapay-zeka-devrimi-basladi.html,7118,post,/gpt-4o-yapay-zeka-devrimi-basladi.html,keep,kategori=218; tarih=2025-03-09
/gpt-4o-yapay-zeka-devrimi-basladi.html?amp=1,7118,post-amp,/gpt-4o-yapay-zeka-devrimi-basladi.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/gpt-4o-yapay-zeka-devrimi-basladi.html/amp,7118,post-amp,/gpt-4o-yapay-zeka-devrimi-basladi.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/youtube-para-kazanma-sartlari2025.html,7114,post,/youtube-para-kazanma-sartlari2025.html,keep,kategori=218; tarih=2025-03-09
/youtube-para-kazanma-sartlari2025.html?amp=1,7114,post-amp,/youtube-para-kazanma-sartlari2025.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/youtube-para-kazanma-sartlari2025.html/amp,7114,post-amp,/youtube-para-kazanma-sartlari2025.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/youtube-kanal-guvenligi-hesabini-ve-gelirini-korumanin-sirlari.html,7110,post,/youtube-kanal-guvenligi-hesabini-ve-gelirini-korumanin-sirlari.html,keep,kategori=218; tarih=2025-03-09
/youtube-kanal-guvenligi-hesabini-ve-gelirini-korumanin-sirlari.html?amp=1,7110,post-amp,/youtube-kanal-guvenligi-hesabini-ve-gelirini-korumanin-sirlari.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/youtube-kanal-guvenligi-hesabini-ve-gelirini-korumanin-sirlari.html/amp,7110,post-amp,/youtube-kanal-guvenligi-hesabini-ve-gelirini-korumanin-sirlari.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/youtube-icerik-ureterek-para-kazanmak.html,7106,post,/youtube-icerik-ureterek-para-kazanmak.html,keep,kategori=218; tarih=2025-03-09
/youtube-icerik-ureterek-para-kazanmak.html?amp=1,7106,post-amp,/youtube-icerik-ureterek-para-kazanmak.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/youtube-icerik-ureterek-para-kazanmak.html/amp,7106,post-amp,/youtube-icerik-ureterek-para-kazanmak.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/youtube-baslamak-sandigindan-kolay.html,7100,post,/youtube-baslamak-sandigindan-kolay.html,keep,kategori=218; tarih=2025-03-09
/youtube-baslamak-sandigindan-kolay.html?amp=1,7100,post-amp,/youtube-baslamak-sandigindan-kolay.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/youtube-baslamak-sandigindan-kolay.html/amp,7100,post-amp,/youtube-baslamak-sandigindan-kolay.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/capcutun-en-iyi-kisayollari-daha-hizli-video.html,7096,post,/capcutun-en-iyi-kisayollari-daha-hizli-video.html,keep,kategori=1177; tarih=2025-03-03
/capcutun-en-iyi-kisayollari-daha-hizli-video.html?amp=1,7096,post-amp,/capcutun-en-iyi-kisayollari-daha-hizli-video.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/capcutun-en-iyi-kisayollari-daha-hizli-video.html/amp,7096,post-amp,/capcutun-en-iyi-kisayollari-daha-hizli-video.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
